"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","260","Create file with empty directory","LMS service","Mon Oct 06 19:04:05 GMT 2025","passed","Mon Oct 06 19:04:05 GMT 2025","Validate entity","Files","",""
"","300","Get course","LMS service","Mon Oct 06 19:03:56 GMT 2025","passed","Mon Oct 06 19:03:56 GMT 2025","Get entity","Courses","",""
"","318","Update course","LMS service","Mon Oct 06 19:03:59 GMT 2025","passed","Mon Oct 06 19:03:59 GMT 2025","Update entity","Courses","",""
"","260","Create file with empty filename","LMS service","Mon Oct 06 19:04:04 GMT 2025","passed","Mon Oct 06 19:04:04 GMT 2025","Validate entity","Files","",""
"","9","Get file with incorrect file id","LMS service","Mon Oct 06 19:04:06 GMT 2025","passed","Mon Oct 06 19:04:06 GMT 2025","Validate entity","Files","",""
"","60","Create file","LMS service","Mon Oct 06 19:04:02 GMT 2025","passed","Mon Oct 06 19:04:02 GMT 2025","Create entity","Files","",""
"","557","Create user","LMS service","Mon Oct 06 19:04:05 GMT 2025","passed","Mon Oct 06 19:04:06 GMT 2025","Create entity","Users","",""
"","545","Create user","LMS service","Mon Oct 06 19:04:06 GMT 2025","passed","Mon Oct 06 19:04:06 GMT 2025","Create entity","Users","",""
"","657","Get courses","LMS service","Mon Oct 06 19:03:57 GMT 2025","passed","Mon Oct 06 19:03:58 GMT 2025","Get entities","Courses","",""
"","296","Delete course","LMS service","Mon Oct 06 19:03:58 GMT 2025","passed","Mon Oct 06 19:03:59 GMT 2025","Delete entity","Courses","",""
"","24","Update user","LMS service","Mon Oct 06 19:04:08 GMT 2025","passed","Mon Oct 06 19:04:09 GMT 2025","Update entity","Users","",""
"","16","Delete exercise","LMS service","Mon Oct 06 19:04:03 GMT 2025","passed","Mon Oct 06 19:04:03 GMT 2025","Delete entity","Exercises","",""
"","327","Refresh user's tokens","LMS service","Mon Oct 06 19:03:56 GMT 2025","passed","Mon Oct 06 19:03:56 GMT 2025","Login","Authentication","",""
"","13","Get user","LMS service","Mon Oct 06 19:04:07 GMT 2025","passed","Mon Oct 06 19:04:07 GMT 2025","Get entity","Users","",""
"","297","Delete user","LMS service","Mon Oct 06 19:04:09 GMT 2025","passed","Mon Oct 06 19:04:09 GMT 2025","Delete entity","Users","",""
"","284","Create exercise","LMS service","Mon Oct 06 19:03:59 GMT 2025","passed","Mon Oct 06 19:04:00 GMT 2025","Create entity","Exercises","",""
"","16","Get file","LMS service","Mon Oct 06 19:04:03 GMT 2025","passed","Mon Oct 06 19:04:03 GMT 2025","Get entity","Files","",""
"","307","Login user with valid credentials","LMS service","Mon Oct 06 19:03:55 GMT 2025","passed","Mon Oct 06 19:03:55 GMT 2025","Login","Authentication","",""
"","287","Create user","LMS service","Mon Oct 06 19:04:06 GMT 2025","passed","Mon Oct 06 19:04:06 GMT 2025","Create entity","Users","",""
"","20","Get exercise","LMS service","Mon Oct 06 19:04:01 GMT 2025","passed","Mon Oct 06 19:04:01 GMT 2025","Get entity","Exercises","",""
"","44","Update exercise","LMS service","Mon Oct 06 19:04:02 GMT 2025","passed","Mon Oct 06 19:04:02 GMT 2025","Update entity","Exercises","",""
"","57","Create course","LMS service","Mon Oct 06 19:03:57 GMT 2025","passed","Mon Oct 06 19:03:57 GMT 2025","Create entity","Courses","",""
"","12","Get current user","LMS service","Mon Oct 06 19:04:07 GMT 2025","passed","Mon Oct 06 19:04:07 GMT 2025","Get entity","Users","",""
"","18","Get files","LMS service","Mon Oct 06 19:04:04 GMT 2025","passed","Mon Oct 06 19:04:04 GMT 2025","Get entities","Files","",""
"","339","Get exercises","LMS service","Mon Oct 06 19:04:00 GMT 2025","passed","Mon Oct 06 19:04:01 GMT 2025","Get entities","Exercises","",""
